tagging,training_data
wifi,Tidak bisa connect wifi
wifi,Setting wifi
wifi,laptop tidak bisa connect wifi
"reset password, password",Bagaimana cara reset password
"reset password, password",Aku mau banget sekarang reset password
"reset password, password",Bantuin reset password dong mbak dit
login,saya tidak bisa login ke web
domain,account saya terblokir
ticket,aku mau create ticket
domain,tanggal expired domain
DSC,saya tidak bisa login ke web DSC
DSC,DSC Gagal Login
"reset password, password",Password expired
wifi,Cara connect WiFi Kantor
wifi,Cara connect ke wifi
web,Tidak bisa akses web
laptop,Laptop error
wifi,Wifi problem
software center,Install software center
wifi,Bagaimana cara terhubung wifi
domain,domain eror
"proxy, setting proxy",Proxy error
"wifi, wifi",Wifi network
"wifi, wifi",susah connect wifi
"email, login email, error outlook",Email saya error
"email, login email, error outlook",Email tidak connect
"wifi, wifi, network",network error
wifi,Wifi error
"email, login email, error outlook",Cara mengatasi Email tidak bisa connect
install sap,install sap gimana caranya
"reset password, password",caranya reset password gimana
"Setting, laptop, Install sap laptop",Konfigurasi laptop
ticket,check remedy ticket status
unlock domain,Unlok
"reset password, password",Mohon dibantu Passy dita expired
"wifi, connect intranet, gagal connect internet kantor, gagal connect intranet kantor",tidak bisa connect network
moana,Moana error
wifi,tidak bisa network
"gagal connect intranet kantor, gagal connect internet kantor, wifi, connect intranet, cara connect",tidak connect
"wifi, gagal connect internet kantor, cara connect, connect intranet, gagal connect intranet kantor",Mohon setting laptop tidak bisa connect wifi network
"gagal connect internet kantor, gagal connect intranet kantor, cara connect",Tidak bisa connect network
"reset password, reset, reset password aplikasi, Reset",mohon bantuan nya untuk reset password
"gagal login, login, corporate network",tidak bisa login network
"setting vpn, setting connect vpn, vpn, setting vpn multi device",Tidak bisa connect vpn
"email, login email, gagal login",Tidak bisa email
"wifi, gagal connect internet kantor, cara connect, wifi",WiFi tidak bisa connect
"wifi, gagal connect intranet kantor, gagal connect internet kantor, connect intranet",Saya tidak bisa akses wifi kantor
"outlook, microsoft outlook, error outlook",Can not start microsoft outlook
"reset password, password, Password, reset password aplikasi",Ganti password
"DSC, dsc",Reset DSC
printer,Setting printer
"tidak bisa internet, gagal connect internet kantor",Tidak bisa internet
"akses visa, VISA, visa",Request akses di visa
"DSC, waktu dsc, masalah dsc, dsc",kenapa sesi DSC selalu berakhir
"wifi, gagal connect intranet kantor, connect intranet, gagal connect internet kantor, cara connect",Tidak bisa connect
"laptop, setting",Konfigurasi laptop Application
request,other request
"wifi, wifi",Tidak bisa connect wifi network
printer,Connect ke Printer
"laptop, printer",Connect dari Laptop ke Printer
printer,Install printer
reset password,Solusi untuk password expired
reset password,password expired untuk updatenya gimana
"vpn, setting connect vpn, setting vpn",Tidak bisa connect vpn muncul error authenticated by radius authentication
VISA,bagaimana cara terhubung ke visa
"reset password, password, Password",saya tidak bisa reset pasword
"user, registrasi user",ganti user
"visa, wifi",Tidak bisa connect visa dan wifi
visa,connect ke visa dong
update,Minta di update certificate Mohon dapat di bantu segera ya
proxy,cara setting proxy
wifi,saya ingin connect internet dengan wifi
"visa, laptop",bagaimana caranya install visa di laptop pribadi
"install aplikasi, visa",bagaimana caranya install aplikasi visa
visa,butuh panduan install visa
"install aplikasi, cara instal aplikasi, instal aplikasi",bagaimana caranya install game di handphone
laptop,laptop Managament
"laptop, software, login",laptop software problem tidak bisa login account di app
laptop,Kak laptop aku tidak bisa connect internet
"reset password, password",saya mau reset password
update,Update profile certificate
reset password,kenapa saya tidak menerima sms kode OTP ketika minta reset password ya
"domain, locked, unlock, laptop",Status user saya locked Ketika mau unlock user
ticket,Chek remedy ticket status
"wifi, wifi",connect WiFi kantor TSO
laptop,laptop start
wifi,Cara connect wifi di TSO
laptop,laptop managmenet
"reset password, password",Ubah password
microsoft,Seting microsoft office
network,Case join network
reset password,Selamat pagi mohon bantuannya untuk reset password
"Gagal login, DSC",Gagal login dsc
"printer, setting, laptop",Setting printer ke laptop
ditaaja,thankyou ditaaja
"Install aplikasi, laptop",Install aplikasi di laptop kantor
laptop,Siang saya boleh di support untuk resolve issue laptop saya
setting,Setting meeting room dengan legal
"moana, unduh",dimana moana bisa diunduh
setting,Setting Verona CLM
wifi,Tidak bisa login wifi di tso
gagal,Masih gagal issue sertificate
"reset password, password",Aku ingin restart password
ditaaja,halo ditaaja
laptop,It support terkait laptop
wifi,No internet Menu WIfi tidak ada
"wifi, laptop",Menu wifi di laptop tidak ada
cs,CS Darling
wifi,tidak bisa connect ke internet
"ticket, create, laptop, software",Create ticket ke IT Support terkait Laptop laptop Software Hardware NetworkWifi
"aplikasi, laptop",Pembaruan atau penurunan versi aplikasi laptop
"laptop, software",laptop Software problem
request,lainnya Request
wifi,Wifi connect
wifi,Tidak bisa connect ke wifi
"setting, print",setting print kantor
"password, reset password",bantu ganti kata sandi
"laptop, management",laptop management application
wifi,Network wifi
file,Mengembalikan file yang terhapus
update,update barcode ibm
reset,Start Reset
"wifi, network",Siang kakak mau tanya kenapa ini tidak bisa connect ke internet network
wifi,status wifi connected tapi tidak bisa browsing
"connect vpn, laptop",halo saya baru ganti laptop bisa tolong bantu saya untuk bisa connect Vpn
cs,cs vero
"password, vpn",Password vpn saya expired
laptop,Laptop tidak bisa nyala
"reset password, password",Halo kak Untuk reset password KMS bisa ke siapa ya
laptop,Laptop tidak bisa connect
"reset password, password",Password reset
"reset password, network",Tidak bisa akses network Network karena baru ganti password
"wifi, wifi, network",Tidak bisa connect ke Wifi network
sap,Tidak bisa akses sap
"setting, print",Setting print
wifi,Tidak bisa connect internet
visa,Visa tidak bisa connect
"wifi, network",Tidak dapat terhubung ke WiFi network
"aplikasi, dsc",Aplikasi DSC tidak dapat digunakan
dsc,DSC Problem
vpn,Butuh support vpn
file,Install zip file
"wifi, reset password",Wifi network tidak connect karena habis ganti password domain
aplikasi,Mau hapus aplikasi
dsc,DSC Stuck page
masalah,Touchpad bermasalah
laptop,camera laptop tidak bisa capture
management,Dekstop Management
ticket,Bikin ticket
"laptop, masalah",Laptop saya bermasalah
network,network Service
"install aplikasi, vpn",Halo saya ingin melakukan install aplikasi vpn
reset password,ubah password domain
reset password,update password
"wifi, network",Tidak dapat masuk ke wifi network
passport,Passport unable to connect
management,Destop management
laptop,Laptop saya error
dsc,Kenapa account Dsc saya error
byod,Butuh connect byod
gagal,gagal juga
software center,install software di laptop
email,Email tidak bisa ke buka
"login, wifi",tidak bisa login WiFi
"aplikasi, laptop",Pemasangan aplikasi laptop untuk aplikasi java
file,cara Buka file RAR
moana,Moana tidak bisa akses
"aplikasi, moana",Aplikasi moana
moana,Moana off line
"wifi, network",Wifi network Network
laptop,Terus aku dapat apa kak laptop
"passport, laptop",mohon bantuan untuk kendala connect passport di laptop saya
"reset password, password",saya tidak bisa menerima kode otp untuk reset password
laptop,Karena saya mau akses jira dari laptop yg muncul spt ini
"vpn, laptop",Vpn laptop
reset password,Error ganti password domain di laptop
connect vpn,Tidak bisa connect vpn
wifi,Tidak bisa akses wifi
visa,Gimana cara pakai VISA
reset password,Saya masih menggunakan password lama untuk login domain padahal sudah ganti password baru
"folder email, ditaaja",Cara membuat personan folder email gimana kak ditaaja
"personal folder, folder email",Cara membuat personal folder email gimana kak Dit
ditaaja,Sore mba ditaaja
moana,link moana
moana,cara install moana
moana,moana apk
unlock domain,cara unlock domain
"laptop, network",Laptop tidak bisa akses network
"reset password, password, reset password aplikasi",Saya mau ganti passwordnya
"ditaajabot, ditaajatselbot, ditaaja, ditatselbot",DitaAaja
visa,Connect visa
"reset password, password",Incorect password or username setelah ganti password
visa,Mohon bantuanya tidak bisa akses visa
moana,Install moana
"create, site, vpn",Create site VPN
domain,Status domain saya
ibm,Saya ganti handphone lalu ibm saya harus sign ulang saya tidak tahu caranya
"reset password, password",Single sign on tidak bisa menggunakan password existing
"gagal login, visa",gagal login visa
network,Tidak bisa sign in ke network
"wifi, network",Tidak bisa connect wifi network
reset password,Ganti password
"reset password, password",Single sign on tidak bisa dgn password lama
gagal,Gagal akses masuk ke portal
sap,install dan support SAP VP NSM A3
"ticket, request, laptop",Create ticket request laptop
laptop,Sound laptop tidak berfungsi
ditaaja,Terima kasih ditaaja
"my, laptop",My laptop type Id ThinkPad X1
ticket,check ticket
"unlock, vpn",Unlock VPN user
unlock,IBM unlock
"Connect VPN, vpn",Bagaiamana cara Connect VPN
"unlock, vpn, passport",Unlock VPN Passport
rpa,Rpa managemenet
connect vpn,Belum bisa connect vpn
laptop,konfigurasi aplikasi laptop
cs,veronica cs
reset,Reset dac
masalah,Kak internet connect aku bermasalah
moana,Moana bermasalah
"reset password, password",minta bantuan reset password
domain,restart domain
"reset password, password",tidak bisa reset password domain saya
network,Connect network
email,Email tidak connect
email,Pagi ini saya dapet email berikut
laptop,Terima kasih laptop
byod,Tidak bisa connect BYOD
update,Menunya setelah di update jadi lambat sekrang
"login, laptop",Aku ngtidak bisa login laptop
laptop,Tolong bantu saya laptop saya error
"laptop, domain",Laptop domain
"setting, email",Setting email
"user domain, domain",unlock user domain
"user domain, domain",bagaimana cara mengatasi domain terkunci
laptop,Pagi laptop mohon bantuannya
wifi,Wifi BYOD
cs,Veronika cs
wifi,Wifi kantor tidak bisa tersambung
"wifi, network",Cant connect network wifi
wifi,Cant connect wifi
"login, certificate, email",Login certificate email kantor
setting proxy,Setting proxy
ticket,Cara bikin ticket
laptop,Laptop saya tidak dpt sinyal
"request, password",trus ini untuk request password
"gagal connect, wifi",Gagal connect ke wifi
"gagal connect, visa, vpn, wifi",Tidak bisa connect ke intranet
"gagal connect, wifi",Halo Laptop tidak bisa connect wifi network
"gagal connect, wifi",Saya tidak bisa connect ke wifi
"wifi, network",Tidak bisa kases ke wifi network
ticket,bagaimana cara membuat ticket
moana,Moana tidak connect
gagal connect,Saya tidak bisa connect ke internet
laptop,Laptop terlock
software,Uninstall Software Adobe
email,email tidak bisa di buka
"wifi, gagal connect",laptop cannot connect wifi network dampak reset password
dsc,Kenapa dsc saya eror
"login, domain",Login domain
domain,Sinkron domain
"install aplikasi, sap",panduan install aplikasi sap
certificate,Setting certificate to sign in
masalah,Usb bermasalah
"visa, vpn, wifi, gagal connect",tidak bisa connect intranet
"laptop, wifi, certificate",Mohon bantuan laptop connect internet dibilang need certificate
network,Tidak bisa connect network
"gagal connect, wifi",Gagal connect ke wifi
"gagal connect, wifi",Kenapa saya tidak bisa terhubung ke wifi
"gagal connect, vpn",Gagal connect ke vpn
ditaaja,Ok ditaaja
network,Cant connect to network
"wifi, network",Tidak bisa connect wifi network
wifi,Wifi error tidak bisa connect
network,network join
"reset, onedrive",reset onedrive
software,Dekstop software problem
"gagal connect, moana",Moana tidak bisa connect
"gagal connect, vpn",vpn gagal connect
"gagal connect, wifi, visa, vpn",tidak terhubung ke intranet
vpn,halo saya mau minta tolong akses vpn tidak bisa
vpn,saya tidak bisa akses ke vpn setelah reset password di moana
"gagal login, visa",gagal login ViSA
visa,Tidak bisa akses visa
wifi,install ulang WiFi
reset,cara reset user
moana,Source instalasi Moana bisa dishare
"password, reset password",Change passwors
"vpn, gagal",Gagal approve IBM
"reset password, password",bagaimana cara reset password domain
laptop,laptop manajement
"user domain, domain",Daftar ulang user domain
"user domain, domain",User baru domain
connect vpn,saya tidak bisa connect vpn
"reset password, password",saya bisa ganti password
gagal connect intranet kantor,saya tidak bisa connect jaringan
"login, visa",Tidak bisa login Visa
"login, visa",Tidak bisa login account visa
"gagal connect, visa",tidak bisa connect visa
"gagal connect, visa, vpn, wifi",tidak bisa connect internet
"login, visa",Tidak bisa login akun visa
"gagal login, visa",Visa gagal login
"gagal login, password",Hi IT Helpdesk Mohon bantuannya saya gagal login terus karena password salah
laptop,Konfigurasi laptop application
visa,tidak bisa install java di visa
backup,Backup bookmark
"onedrive, visa",Onedrive dan visa
"onedrive, visa",Penggunaan onedrive pada visa
passport,Penghapusan passport
passport,Penghapusan perangkat passport
email,Permohonan email
email,Panduan permohonan email telkomsel
network,tidak bisa terhubung network
wifi,kenapa wifi saya bermasalah
laptop,laptop management
Install aplikasi,Install aplikasi power BI dari external source
wifi,selamat pagi menu wifi saya hilang
wifi,menu wifi tidak ada
"laptop, network",Selamat siang Mohon dibantu laptop saya tidak dapat connect ke network
outlook,kendala outlook
"visa, management",Visa Management
"laptop, software",laptop Software problem
"download, moana",Download moana
moana,Link install moana
"unlock, domain, aplikasi, moana",Unlock account Domain dengan Aplikasi MOANA
"install SAP, SAP laptop",Selamat siangboleh dibantu untuk install SAP di laptop saya
"login, visa",Cara login visa
laptop,Cara pindah data laptop
reset password,mohon bantuan untuk reset password domain
ticket,Check Remedy Ticket Status
"reset password, password",kenapa saya tidak mendapat otp sms setelah reset password
reset,Mohon dibantu reset pass
DSC,cara login dsc
"update, password, laptop",Update password laptop
laptop,Laptop saya rusak nih
management,Deskto Management
"nik, csdm",NIK CSDM
reset,Reset account
"laptop, email",laptop saya tidak bisa sinkron dengan email dan Calender
"reset password, email",reset password email
"reset password, password",Kode OTP belum dapat saat reset password
certificate,Mohon bantuan ada kendala certificate
"install SAP, sap",Kak aku mau install SAP
email,mailbox email
"gagal connect, wifi",Mohon bantuan untuk bisa connect wifi habis ganti password tidak bisa connect
wifi,hai bagaimana caranya connect wifi
"reset password, wifi, network",Cara aktifkan sertifikat wifi network setelah ganti password
laptop,Visa detail laptop
laptop,laptop lemot
"ticket, moana",Kenapa tidak bisa create ticket di moana
"ticket, moana",Ticket IT Services Point di Moana
ticket,Ticket IT Services Point di Moana
ticket,cara buat ticket
ticket,cara membuat ticket
ticket,panduan cara membuat ticket
ticket,request ticket regional support
ticket,panduan membuat ticket
ticket,bagaimana cara bikin ticket
wifi,bagaimana saya connect ke izone
wifi,cara connect wifi byod
wifi,cara connect ke dzone
wifi,bagaimana cara terhubung ke wifi izone
"password, reset password",Bagaimana cara update password expired
login,login onedrive dari browser
"wifi, vpn, visa",bagaimana cara connect ke intranet
"wifi, vpn, visa",saya ingin connect ke intranet
"wifi, ticket",cara buat ticket dan wifi
"wifi, ticket",cara membuat ticket dan connect ke wifi
"domain, wifi",cara unlock domain dan connect wifi
"domain, wifi",saya ingin connect wifi dan unlock domain
"wifi, vpn",cara connect wifi dan vpn
"wifi, visa",bagaimana cara connect wifi dan visa
"wifi, reset password",Bagaimana saya reset password dan connect ke izone?
"wifi, reset password",cara mereset password dan connect byod
"reset password, moana",bagaimana cara reset password dengan moana
"reset password, moana",reset password pake moana
"reset password, moana",cara mereset password dengan moana
"reset password, moana",cara ubah password dengan moana
"wifi, vpn",Bagaimana cara connect wifi dan vpn
"reset password, password",gimana cara ngubah password
"reset password, password",cara ubah password
DSC,DSC Problem
DSC,DSC bermasalah
DSC,DSC Stuck page
DSC,Kenapa account Dsc saya error
DSC,Kenapa dsc saya eror
DSC,Reset DSC
DSC,kenapa sesi DSC selalu berakhir
DSC,panduan create user DSC
DSC,Cara menggunakan DSC
DSC,bagaimana cara menambah user di DSC
DSC,cara menambah user di DSC
DSC,Apa itu DSC
DSC,DSC apakah itu?
sccm,Apa itu SCCM?
sccm,cara install aplikasi lewat sccm
sccm,Bagaimana cara install aplikasi dari sccm
sccm,Bagaimana caranya install aplikasi dari software center
sccm,Install aplikasi baru dari software center
gagal connect,gagal connect
gagal connect,tidak bisa connect
gagal connect,saya tidak bisa connect jaringan
ticket,cara buat ticket visa management
ticket,panduan membuat ticket visa management
ticket,cara membuat ticket komplain visa
ticket,gimana caranya membuat ticket komplain visa
"wifi, visa, vpn",cara connect wifi visa dan vpn
"wifi, visa, vpn",panduan cara connect wifi visa dan vpn
"wifi, visa, vpn",bagaimana cara connect wifi visa dan vpn
ticket,cara buat komplain visa management
ticket,bagaimana cara membuat komplain terkait visa management
visa,panduan menggunakan visa
ticket,panduan membuat komplain visa management
ticket,panduan cara membuat komplain visa
ticket,cara buat komplain terkait visa
